year,canton,age_label,population,age
2011,Schweiz,Alter - Total,7954662,
2011,Schweiz,0 Jahre,78426,0.0
2011,Schweiz,1 Jahr,81663,1.0
2011,Schweiz,2 Jahre,80196,2.0
2011,Schweiz,3 Jahre,79522,3.0
2011,Schweiz,4 Jahre,78288,4.0
2011,Schweiz,5 Jahre,77429,5.0
2011,Schweiz,6 Jahre,77450,6.0
2011,Schweiz,7 Jahre,77458,7.0
2011,Schweiz,8 Jahre,76270,8.0
2011,Schweiz,9 Jahre,77256,9.0
2011,Schweiz,10 Jahre,77650,10.0
2011,Schweiz,11 Jahre,82547,11.0
2011,Schweiz,12 Jahre,82199,12.0
2011,Schweiz,13 Jahre,83428,13.0
2011,Schweiz,14 Jahre,84867,14.0
2011,Schweiz,15 Jahre,87265,15.0
2011,Schweiz,16 Jahre,86936,16.0
2011,Schweiz,17 Jahre,88301,17.0
2011,Schweiz,18 Jahre,90378,18.0
2011,Schweiz,19 Jahre,95014,19.0
2011,Schweiz,20 Jahre,96850,20.0
2011,Schweiz,21 Jahre,97786,21.0
2011,Schweiz,22 Jahre,97770,22.0
2011,Schweiz,23 Jahre,100145,23.0
2011,Schweiz,24 Jahre,99051,24.0
2011,Schweiz,25 Jahre,101829,25.0
2011,Schweiz,26 Jahre,103410,26.0
2011,Schweiz,27 Jahre,106243,27.0
2011,Schweiz,28 Jahre,106538,28.0
2011,Schweiz,29 Jahre,109784,29.0
2011,Schweiz,30 Jahre,110176,30.0
2011,Schweiz,31 Jahre,111458,31.0
2011,Schweiz,32 Jahre,108965,32.0
2011,Schweiz,33 Jahre,107893,33.0
2011,Schweiz,34 Jahre,108326,34.0
2011,Schweiz,35 Jahre,107982,35.0
2011,Schweiz,36 Jahre,107898,36.0
2011,Schweiz,37 Jahre,110965,37.0
2011,Schweiz,38 Jahre,111639,38.0
2011,Schweiz,39 Jahre,115406,39.0
2011,Schweiz,40 Jahre,119642,40.0
2011,Schweiz,41 Jahre,121658,41.0
2011,Schweiz,42 Jahre,125215,42.0
2011,Schweiz,43 Jahre,128544,43.0
2011,Schweiz,44 Jahre,129881,44.0
2011,Schweiz,45 Jahre,133048,45.0
2011,Schweiz,46 Jahre,133821,46.0
2011,Schweiz,47 Jahre,135997,47.0
2011,Schweiz,48 Jahre,132256,48.0
2011,Schweiz,49 Jahre,127385,49.0
2011,Schweiz,50 Jahre,123289,50.0
2011,Schweiz,51 Jahre,120147,51.0
2011,Schweiz,52 Jahre,116703,52.0
2011,Schweiz,53 Jahre,112449,53.0
2011,Schweiz,54 Jahre,109769,54.0
2011,Schweiz,55 Jahre,106680,55.0
2011,Schweiz,56 Jahre,102454,56.0
2011,Schweiz,57 Jahre,99391,57.0
2011,Schweiz,58 Jahre,95934,58.0
2011,Schweiz,59 Jahre,95237,59.0
2011,Schweiz,60 Jahre,91100,60.0
2011,Schweiz,61 Jahre,93158,61.0
2011,Schweiz,62 Jahre,91252,62.0
2011,Schweiz,63 Jahre,91965,63.0
2011,Schweiz,64 Jahre,89878,64.0
2011,Schweiz,65 Jahre,88767,65.0
2011,Schweiz,66 Jahre,84466,66.0
2011,Schweiz,67 Jahre,82815,67.0
2011,Schweiz,68 Jahre,79492,68.0
2011,Schweiz,69 Jahre,75469,69.0
2011,Schweiz,70 Jahre,70109,70.0
2011,Schweiz,71 Jahre,64165,71.0
2011,Schweiz,72 Jahre,62137,72.0
2011,Schweiz,73 Jahre,59563,73.0
2011,Schweiz,74 Jahre,56476,74.0
2011,Schweiz,75 Jahre,55882,75.0
2011,Schweiz,76 Jahre,54492,76.0
2011,Schweiz,77 Jahre,52205,77.0
2011,Schweiz,78 Jahre,49266,78.0
2011,Schweiz,79 Jahre,47562,79.0
2011,Schweiz,80 Jahre,44801,80.0
2011,Schweiz,81 Jahre,43201,81.0
2011,Schweiz,82 Jahre,39678,82.0
2011,Schweiz,83 Jahre,36563,83.0
2011,Schweiz,84 Jahre,33241,84.0
2011,Schweiz,85 Jahre,30858,85.0
2011,Schweiz,86 Jahre,27883,86.0
2011,Schweiz,87 Jahre,24525,87.0
2011,Schweiz,88 Jahre,21432,88.0
2011,Schweiz,89 Jahre,18326,89.0
2011,Schweiz,90 Jahre,15892,90.0
2011,Schweiz,91 Jahre,12673,91.0
2011,Schweiz,92 Jahre,8782,92.0
2011,Schweiz,93 Jahre,6541,93.0
2011,Schweiz,94 Jahre,5170,94.0
2011,Schweiz,95 Jahre,3881,95.0
2011,Schweiz,96 Jahre,2803,96.0
2011,Schweiz,97 Jahre,2219,97.0
2011,Schweiz,98 Jahre,1484,98.0
2011,Schweiz,99 Jahre und mehr,2333,99.0
2011,Schweiz,Ohne Angabe,0,
2011,Zürich,Alter - Total,1392396,
2011,Zürich,0 Jahre,15143,0.0
2011,Zürich,1 Jahr,15339,1.0
2011,Zürich,2 Jahre,14890,2.0
2011,Zürich,3 Jahre,14452,3.0
2011,Zürich,4 Jahre,14031,4.0
2011,Zürich,5 Jahre,13632,5.0
2011,Zürich,6 Jahre,13433,6.0
2011,Zürich,7 Jahre,13287,7.0
2011,Zürich,8 Jahre,12962,8.0
2011,Zürich,9 Jahre,12993,9.0
