year,canton_label,cantons,age_label,age,cost_raw,mult,cost_status_label,cost_status,costs_chf
2011,_T,Total,_T,Total,64234.605,6,,,64234605000.0
2012,_T,Total,_T,Total,66521.484,6,,,66521484000.0
2013,_T,Total,_T,Total,69352.48,6,,,69352480000.0
2014,_T,Total,_T,Total,71055.555,6,,,71055555000.0
2015,_T,Total,_T,Total,73345.97,6,,,73345970000.0
2016,_T,Total,_T,Total,75935.875,6,,,75935875000.0
2017,_T,Total,_T,Total,77866.586,6,,,77866586000.0
2018,_T,Total,_T,Total,79171.64,6,,,79171640000.0
2019,_T,Total,_T,Total,81686.11,6,,,81686110000.0
2020,_T,Total,_T,Total,83522.01,6,,,83522010000.0
2021,_T,Total,_T,Total,89099.26,6,,,89099260000.0
2022,_T,Total,_T,Total,91759.15,6,,,91759150000.0
2023,_T,Total,_T,Total,93393.62,6,,,93393620000.0
2024,_T,Total,_T,Total,97201.37,6,,,97201370000.0
2025,_T,Total,_T,Total,100728.18,6,,,100728180000.0
2011,1,Zürich,_T,Total,11113.785,6,,,11113785000.0
2012,1,Zürich,_T,Total,11531.068,6,,,11531068000.0
2013,1,Zürich,_T,Total,12014.126,6,,,12014126000.0
2014,1,Zürich,_T,Total,12288.367,6,,,12288367000.0
2015,1,Zürich,_T,Total,12646.938,6,,,12646938000.0
2016,1,Zürich,_T,Total,13133.581,6,,,13133581000.0
2017,1,Zürich,_T,Total,13441.639,6,,,13441639000.0
2018,1,Zürich,_T,Total,13675.794,6,,,13675794000.0
2019,1,Zürich,_T,Total,14051.196,6,,,14051196000.0
2020,1,Zürich,_T,Total,14197.38,6,,,14197380000.0
2021,1,Zürich,_T,Total,15231.132,6,,,15231132000.0
2022,1,Zürich,_T,Total,15679.2,6,,,15679200000.0
2023,1,Zürich,_T,Total,15884.144,6,,,15884144000.0
2024,1,Zürich,_T,Total,16631.36,6,,,16631360000.0
2011,2,Bern,_T,Total,8468.265,6,,,8468264999.999999
2012,2,Bern,_T,Total,8760.738,6,,,8760738000.0
2013,2,Bern,_T,Total,9081.76,6,,,9081760000.0
2014,2,Bern,_T,Total,9277.219,6,,,9277219000.0
2015,2,Bern,_T,Total,9753.575,6,,,9753575000.0
2016,2,Bern,_T,Total,10089.827,6,,,10089827000.0
2017,2,Bern,_T,Total,10241.3,6,,,10241300000.0
2018,2,Bern,_T,Total,10360.96,6,,,10360960000.0
2019,2,Bern,_T,Total,10494.066,6,,,10494066000.0
2020,2,Bern,_T,Total,10755.863,6,,,10755863000.0
2021,2,Bern,_T,Total,11436.382,6,,,11436382000.0
2022,2,Bern,_T,Total,11566.182,6,,,11566182000.0
2023,2,Bern,_T,Total,12030.14,6,,,12030140000.0
2024,2,Bern,_T,Total,12427.433,6,,,12427433000.0
2011,3,Luzern,_T,Total,2692.657,6,,,2692657000.0
2012,3,Luzern,_T,Total,2794.85,6,,,2794850000.0
2013,3,Luzern,_T,Total,2927.461,6,,,2927461000.0
2014,3,Luzern,_T,Total,2986.895,6,,,2986895000.0
2015,3,Luzern,_T,Total,3077.452,6,,,3077452000.0
2016,3,Luzern,_T,Total,3241.601,6,,,3241601000.0
2017,3,Luzern,_T,Total,3323.311,6,,,3323311000.0
2018,3,Luzern,_T,Total,3247.626,6,,,3247626000.0
2019,3,Luzern,_T,Total,3462.021,6,,,3462021000.0
2020,3,Luzern,_T,Total,3519.834,6,,,3519834000.0
2021,3,Luzern,_T,Total,3977.111,6,,,3977111000.0
2022,3,Luzern,_T,Total,3999.45,6,,,3999450000.0
2023,3,Luzern,_T,Total,3909.933,6,,,3909933000.0
2024,3,Luzern,_T,Total,4040.832,6,,,4040832000.0
2011,4,Uri,_T,Total,251.123,6,,,251123000.0
2012,4,Uri,_T,Total,258.316,6,,,258315999.99999997
2013,4,Uri,_T,Total,268.677,6,,,268677000.0
2014,4,Uri,_T,Total,275.071,6,,,275071000.0
2015,4,Uri,_T,Total,273.449,6,,,273449000.0
2016,4,Uri,_T,Total,277.411,6,,,277411000.0
2017,4,Uri,_T,Total,279.249,6,,,279249000.0
2018,4,Uri,_T,Total,307.298,6,,,307298000.0
2019,4,Uri,_T,Total,299.439,6,,,299439000.0
2020,4,Uri,_T,Total,305.914,6,,,305914000.0
2021,4,Uri,_T,Total,321.518,6,,,321518000.0
2022,4,Uri,_T,Total,315.656,6,,,315656000.0
2023,4,Uri,_T,Total,329.806,6,,,329806000.0
2024,4,Uri,_T,Total,330.398,6,,,330398000.0
2011,5,Schwyz,_T,Total,1054.055,6,,,1054055000.0000001
2012,5,Schwyz,_T,Total,1127.889,6,,,1127889000.0
2013,5,Schwyz,_T,Total,1166.222,6,,,1166222000.0
2014,5,Schwyz,_T,Total,1185.912,6,,,1185912000.0
2015,5,Schwyz,_T,Total,1217.794,6,,,1217794000.0
2016,5,Schwyz,_T,Total,1249.592,6,,,1249592000.0
2017,5,Schwyz,_T,Total,1290.183,6,,,1290183000.0
