canton_code,canton_label,belastungsindex_latest,belastungsindex_2030,delta_belastungsindex_to_2030,cost_per_capita_2030,population_share_66_plus_2030,premium_median_monthly_2030,priority_flag
TI,Ticino,1.5487196067795312,1.5786934104497126,0.02997380367018132,14730.581602436723,0.2435570073991249,697.6829670329607,Prioritär beobachten
BL,Basel-Landschaft,1.1731107768640634,1.1727635242505887,-0.00034725261347468006,13791.581944849575,0.23564917594928225,687.8780219780238,Prioritär beobachten
JU,Jura,1.1113611305735787,1.1246716819210443,0.013310551347465616,13604.083905147389,0.23411652857958565,696.6697802197741,Prioritär beobachten
BS,Basel-Stadt,1.3811709943332675,1.1137848341071082,-0.26738616022615935,15064.361617180752,0.1791474272235296,766.4252747252722,Prioritär beobachten
NE,Neuchâtel,0.9875573432856333,1.0626376546666054,0.07508031138097215,14124.82363560109,0.19967767949545934,761.25989010989,Prioritär beobachten
BE,Bern,0.7260472674345773,0.5558057687618387,-0.17024149867273852,12777.271442557452,0.2257191458645913,623.6076923076907,Prioritär beobachten
GL,Glarus,0.41272356108092734,0.37028425920869185,-0.04243930187223549,12983.261422714335,0.22081485204583906,561.0862637362625,Prioritär beobachten
GR,Graubünden,0.1396172959647095,0.3075434010559178,0.1679261050912083,11874.363666918012,0.2453253908254096,553.090659340658,Prioritär beobachten
GE,Genève,0.33927934366230084,0.24368934726923258,-0.09558999639306826,12793.61154996074,0.15774543450411388,788.7780219780179,Regulär beobachten
SO,Solothurn,0.21818843886653877,0.14858031017141943,-0.06960812869511934,11893.644368218258,0.21205173610486217,630.7708791208788,Regulär beobachten
SH,Schaffhausen,0.21728056132199802,0.14069946603307562,-0.0765810952889224,11658.069655984465,0.22200643330637737,611.9983516483517,Regulär beobachten
VS,Valais,-0.1641207452964037,-0.08597033998020484,0.07815040531619885,11445.004938753904,0.21446665103601248,587.9884615384617,Prioritär beobachten
AR,Appenzell Ausserrhoden,-0.14928016318156034,-0.08821428120812427,0.06106588197343607,11469.45092762023,0.2169799558858827,574.8175824175814,Regulär beobachten
VD,Vaud,0.05539052264961797,-0.09451941865973473,-0.1499099413093527,12313.122609087557,0.16424355908984656,698.5414835164811,Regulär beobachten
NW,Nidwalden,-0.4680446845197607,-0.2227490866430889,0.24529559787667182,10429.977468124707,0.24497385524611026,522.25,Prioritär beobachten
SG,St. Gallen,-0.5289172326061073,-0.4490086355890074,0.07990859701709996,10981.203821679053,0.19811885325677903,578.7120879120885,Prioritär beobachten
OW,Obwalden,-0.6308601772725413,-0.4808244448631127,0.15003573240942858,10362.057787255326,0.22476706839803384,523.7620879120877,Prioritär beobachten
TG,Thurgau,-0.5999795033876884,-0.5295657536950574,0.07041374969263092,10825.939335834759,0.20014785700741378,559.3648351648371,Regulär beobachten
AG,Aargau,-0.4965604305405496,-0.5676945079249476,-0.07113407738439798,10717.724259177106,0.19452731575693694,579.8329670329658,Regulär beobachten
SZ,Schwyz,-0.710306020414256,-0.5986344422886304,0.11167157812562556,10576.563341605884,0.204275708865727,544.8417582417569,Prioritär beobachten
FR,Fribourg,-0.6471473924773533,-0.6475395583481622,-0.00039216587080892484,10911.530429359642,0.17376822301718686,616.629120879119,Regulär beobachten
ZH,Zürich,-0.5258106771786151,-0.6842747596090925,-0.15846408243047738,11076.634976706293,0.16863021040404802,608.456043956041,Regulär beobachten
LU,Luzern,-0.8156900288785681,-0.7319822589060349,0.08370776997253326,10508.188912160113,0.18995505377123445,564.3626373626394,Prioritär beobachten
UR,Uri,-0.6818551444588776,-0.735104521441809,-0.05324937698293142,9570.86249221384,0.22857895714245036,502.95054945054653,Regulär beobachten
AI,Appenzell Innerrhoden,-0.7917987927152138,-0.7712308377831241,0.020567954932089738,10079.574316176062,0.21647702778543554,488.49890109890475,Regulär beobachten
ZG,Zug,-1.100075849889242,-1.1318408109551001,-0.03176496106585813,9882.959601657523,0.1862000756516835,508.84835164835386,Regulär beobachten
